element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
336,6,19,2,False,2020-09-12T19:00:00Z,0,2,1,90,0,0,1,0,0,0,0,1,0,0,0,12,12.8,2.0,0.0,1.5,50,0,5941,0,0
336,16,3,2,True,2020-09-20T13:00:00Z,0,3,2,90,0,0,0,3,0,0,0,0,0,0,0,9,5.0,12.8,10.0,2.8,50,-540,6488,553,1093
336,26,17,1,False,2020-09-27T13:00:00Z,1,1,3,90,0,0,0,1,0,0,0,1,0,0,0,7,17.2,0.7,0.0,1.8,50,-843,5983,408,1251
336,36,4,2,True,2020-10-03T19:00:00Z,3,1,4,90,0,0,0,1,0,0,0,0,0,0,0,6,9.2,1.9,13.0,2.4,50,-286,5980,542,828
336,45,13,1,True,2020-10-17T19:00:00Z,1,4,5,48,0,0,0,1,0,0,0,0,0,0,0,7,10.4,10.4,0.0,2.1,49,-594,5605,388,982
336,58,20,0,False,2020-10-25T16:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-919,4683,46,965
336,65,7,1,True,2020-11-01T14:00:00Z,2,1,7,7,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.2,0.0,0.0,48,-181,4612,217,398
336,76,16,0,False,2020-11-06T20:00:00Z,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-134,4545,195,329
336,85,5,1,True,2020-11-21T12:30:00Z,0,2,9,90,0,0,0,2,0,0,0,1,0,0,0,6,2.0,12.3,0.0,1.4,48,-208,4406,200,408
336,92,6,0,False,2020-11-27T20:00:00Z,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-34,4441,211,245
336,116,18,2,True,2020-12-12T15:00:00Z,2,1,12,90,0,0,0,1,0,0,0,0,0,0,0,15,20.8,0.0,4.0,2.5,48,-108,4117,80,188
336,122,10,1,False,2020-12-16T18:00:00Z,5,2,13,90,0,0,0,5,0,0,0,1,0,0,0,2,11.4,0.7,21.0,3.3,48,-26,4125,101,127
336,135,8,1,True,2020-12-19T20:00:00Z,1,1,14,45,0,0,0,0,0,0,0,0,0,0,0,13,14.2,0.5,4.0,1.9,48,-34,4116,116,150
336,145,12,2,False,2020-12-26T20:00:00Z,2,0,15,90,0,0,0,2,0,0,0,0,0,0,0,11,5.4,11.3,2.0,1.9,47,-39,4119,163,202
336,155,11,2,True,2020-12-30T20:00:00Z,0,0,16,90,0,0,1,0,0,0,0,1,0,0,0,1,7.4,0.6,3.0,1.1,47,73,4227,217,144
336,165,9,0,True,2021-01-03T14:15:00Z,1,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-176,4062,156,332
336,174,15,1,False,2021-01-12T18:00:00Z,1,0,18,90,0,0,0,1,0,0,0,1,0,0,0,0,13.4,1.2,22.0,3.7,47,255,5899,665,410
336,179,1,0,False,2021-01-18T20:00:00Z,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,24,4459,305,281
336,99,2,2,False,2021-01-23T20:00:00Z,2,0,19,90,0,0,0,2,0,0,0,0,0,0,0,9,14.8,2.2,2.0,1.9,47,24,4459,305,281
336,196,10,2,True,2021-01-26T18:00:00Z,1,2,20,90,0,0,0,2,0,0,0,0,0,0,0,13,14.0,11.0,0.0,2.5,47,-175,4270,116,291
336,203,7,3,False,2021-01-30T12:30:00Z,0,2,21,90,0,0,1,0,0,0,0,0,0,0,0,18,18.8,2.0,26.0,4.7,47,-214,4073,48,262
336,217,6,2,True,2021-02-02T20:15:00Z,1,2,22,90,0,0,0,2,0,0,0,0,0,0,0,12,10.2,6.3,0.0,1.7,47,-60,4041,91,151
