element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
350,8,20,0,True,2020-09-14T17:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,9649,0,0
350,10,2,0,False,2020-09-21T17:00:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-919,10250,252,1171
350,25,10,0,True,2020-09-27T11:00:00Z,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-988,9815,174,1162
350,29,1,0,False,2020-10-04T13:00:00Z,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-658,9496,104,762
350,46,8,0,True,2020-10-18T11:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-594,9205,230,824
350,54,11,0,False,2020-10-24T19:00:00Z,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-291,9039,215,506
350,66,12,0,True,2020-10-31T12:30:00Z,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-182,8965,161,343
350,71,5,0,False,2020-11-07T17:30:00Z,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-200,8818,87,287
350,86,19,0,True,2020-11-22T14:00:00Z,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-241,8692,97,338
350,97,18,0,False,2020-11-28T20:00:00Z,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-143,8596,63,206
350,105,9,0,True,2020-12-06T14:15:00Z,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-201,8443,46,247
350,117,16,0,False,2020-12-13T12:00:00Z,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-160,8344,55,215
350,124,13,0,True,2020-12-17T20:00:00Z,2,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-140,8225,29,169
350,129,3,0,False,2020-12-20T12:00:00Z,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-109,8151,28,137
350,146,7,0,True,2020-12-26T20:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-94,8123,102,196
350,150,4,0,False,2020-12-29T18:00:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-71,8084,60,131
350,162,6,0,False,2021-01-02T15:00:00Z,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-97,8021,61,158
350,174,14,0,True,2021-01-12T18:00:00Z,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-86,8623,197,283
350,186,17,0,True,2021-01-17T14:00:00Z,1,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-85,7925,88,173
350,192,13,0,False,2021-01-27T20:15:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-114,7865,82,196
350,205,12,0,False,2021-01-30T15:00:00Z,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-40,7847,59,99
350,214,18,0,True,2021-02-02T18:00:00Z,2,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,19,7892,119,100
350,226,5,0,True,2021-02-07T19:15:00Z,1,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-19,7895,137,156
350,238,19,0,False,2021-02-15T18:00:00Z,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-96,7862,127,223
350,243,8,0,False,2021-02-20T20:00:00Z,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,125,8042,304,179
350,256,11,0,True,2021-02-28T19:15:00Z,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-230,7847,185,415
350,285,2,0,True,2021-03-03T18:00:00Z,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-230,7847,185,415
350,265,16,0,True,2021-03-06T15:00:00Z,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,95,7992,253,158
350,274,9,0,False,2021-03-14T14:00:00Z,5,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-102,7922,115,217
