element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
286,18,20,1,False,2020-09-21T19:15:00Z,1,3,2,90,0,0,0,1,0,0,0,1,0,0,0,8,12.0,16.2,1.0,2.9,55,-1071,37251,3748,4819
286,24,9,2,True,2020-09-27T15:30:00Z,2,5,3,90,0,0,0,5,0,0,0,0,0,0,0,14,12.6,8.0,3.0,2.4,55,-3393,36118,3472,6865
286,33,10,2,False,2020-10-03T16:30:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,0,0,18,18.0,5.4,4.0,2.7,55,-974,37249,3853,4827
286,44,1,2,True,2020-10-17T16:30:00Z,1,0,5,90,0,0,1,0,0,0,0,1,0,0,0,12,8.2,25.8,2.0,3.6,55,-3143,35663,2464,5607
286,57,19,2,False,2020-10-24T11:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,17,21.2,27.5,9.0,5.8,54,-1453,35264,1982,3435
286,66,15,3,False,2020-10-31T12:30:00Z,0,1,7,90,0,0,1,0,0,0,0,0,0,0,0,13,15.0,4.1,9.0,2.8,54,-1186,34789,1811,2997
286,75,11,2,True,2020-11-08T16:30:00Z,1,1,8,90,0,0,0,1,0,0,0,0,0,0,0,9,2.2,2.2,0.0,0.4,54,-846,34456,1895,2741
286,87,17,2,False,2020-11-21T17:30:00Z,2,0,9,90,0,0,0,2,0,0,0,0,0,0,0,21,23.6,46.5,31.0,10.1,54,-340,34918,2462,2802
286,95,4,1,True,2020-11-28T15:00:00Z,5,0,10,45,0,0,0,0,0,0,0,0,0,0,0,8,3.6,6.3,0.0,1.0,54,1838,37461,3888,2050
286,104,8,3,True,2020-12-05T15:00:00Z,2,0,11,90,0,0,1,0,0,0,0,0,0,0,0,23,24.0,25.7,5.0,5.5,54,-1626,35958,1912,3538
286,115,13,3,False,2020-12-12T17:30:00Z,0,0,12,90,0,0,1,0,0,0,0,0,0,0,0,15,15.8,5.6,17.0,3.8,54,-1157,35168,1335,2492
286,128,18,2,True,2020-12-15T20:00:00Z,1,1,13,90,0,0,0,1,0,0,0,0,0,0,0,11,15.8,25.9,18.0,6.0,54,1527,37046,2964,1437
286,136,16,3,False,2020-12-19T15:00:00Z,0,1,14,90,0,0,1,0,0,0,0,0,0,0,0,16,17.4,4.3,0.0,2.2,54,-1007,36175,1110,2117
286,145,14,0,True,2020-12-26T20:00:00Z,2,0,15,56,0,0,0,0,0,0,0,1,0,0,0,6,9.0,4.8,8.0,2.2,54,-82,36573,2049,2131
286,161,5,2,False,2021-01-03T16:30:00Z,1,3,17,90,0,0,0,1,0,0,0,0,0,0,0,14,28.0,4.5,35.0,6.8,54,-1078,34609,891,1969
286,178,3,3,True,2021-01-13T18:00:00Z,1,0,18,90,0,0,1,0,0,0,0,0,0,0,0,15,17.8,7.2,4.0,2.9,54,36,35580,2463,2427
286,185,6,0,True,2021-01-17T19:15:00Z,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-12,35231,1170,1182
286,380,2,9,True,2021-01-20T18:00:00Z,2,0,19,90,0,1,1,0,0,0,0,0,0,0,3,33,54.8,51.4,39.0,14.5,54,-12,35231,1170,1182
286,193,18,3,False,2021-01-26T20:15:00Z,0,5,20,90,0,0,1,0,0,0,0,0,0,0,0,13,8.0,9.6,1.0,1.9,54,-434,35179,1522,1956
286,205,15,1,True,2021-01-30T15:00:00Z,1,0,21,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.1,0.0,0.0,53,-1038,34256,660,1698
286,210,4,3,False,2021-02-03T18:00:00Z,0,2,22,90,0,0,1,0,0,0,0,0,0,0,0,19,24.6,17.7,2.0,4.4,53,-843,33555,457,1300
