element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
62,7,5,1,True,2020-09-14T19:15:00Z,1,3,1,90,0,0,0,3,0,0,0,0,0,0,0,16,20.4,1.2,7.0,2.9,50,0,531265,0,0
62,16,14,7,False,2020-09-20T13:00:00Z,0,3,2,90,0,0,1,0,0,0,0,0,0,0,1,26,18.8,0.8,0.0,2.0,50,-45744,508280,11610,57354
62,19,13,-2,True,2020-09-26T11:30:00Z,2,3,3,90,0,0,0,3,1,0,0,1,0,0,0,5,0.6,0.8,2.0,0.3,50,-14632,510370,30378,45010
62,32,7,0,False,2020-10-03T14:00:00Z,4,2,4,90,0,0,0,4,0,0,0,0,0,0,0,14,13.6,3.2,1.0,1.8,50,-55557,456061,6570,62127
62,40,6,-1,False,2020-10-18T13:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,1,0,0,1,5.8,11.3,28.0,4.5,49,-50028,411240,9703,59731
62,51,18,0,True,2020-10-26T17:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-108216,300961,1182,109398
62,67,17,0,False,2020-11-01T19:15:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-59148,246312,100,59248
62,70,4,0,True,2020-11-06T17:30:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-35467,211596,94,35561
62,79,2,2,False,2020-11-21T15:00:00Z,1,2,9,90,0,0,0,1,0,0,0,0,0,0,0,17,21.0,0.0,0.0,2.1,48,-9194,203928,1941,11135
62,90,11,3,True,2020-11-28T12:30:00Z,1,1,10,90,0,0,0,1,0,0,0,0,0,0,1,19,14.8,0.3,0.0,1.5,48,-3655,201220,2174,5829
62,100,16,0,True,2020-12-07T20:00:00Z,1,2,11,90,0,0,0,2,0,0,0,1,0,0,0,9,22.2,0.9,4.0,2.7,48,-3031,198682,2608,5639
62,114,9,1,False,2020-12-13T19:15:00Z,3,0,12,90,0,0,0,3,0,0,0,0,0,0,0,14,13.4,1.3,8.0,2.3,48,-5291,193847,1409,6700
62,121,8,6,False,2020-12-16T20:00:00Z,0,0,13,90,0,0,1,0,0,0,0,0,0,0,0,19,25.6,0.8,59.0,8.5,48,-1575,192851,3086,4661
62,129,15,1,True,2020-12-20T12:00:00Z,1,1,14,90,0,0,0,1,0,0,0,1,0,0,0,8,12.6,15.2,8.0,3.6,48,14078,208698,17445,3367
62,147,19,9,False,2020-12-27T14:15:00Z,2,2,15,90,1,0,0,2,0,0,0,0,0,0,2,25,54.8,0.5,33.0,8.8,48,-9302,198284,2832,12134
62,149,1,1,True,2020-12-29T18:00:00Z,0,1,16,90,0,0,0,1,0,0,0,1,0,0,0,13,16.0,11.5,6.0,3.4,48,769,199888,4925,4156
62,159,20,7,True,2021-01-02T17:30:00Z,3,3,17,90,1,0,0,3,0,0,0,0,0,0,0,29,57.4,1.7,17.0,7.6,48,-1512,198641,4432,5944
62,178,12,2,False,2021-01-13T18:00:00Z,1,0,18,90,0,0,0,1,0,0,0,0,0,0,0,14,8.6,0.8,0.0,0.9,48,1105,201296,10498,9393
62,182,10,8,False,2021-01-16T15:00:00Z,0,1,19,90,0,0,1,0,0,0,0,0,0,0,2,29,20.8,10.5,2.0,3.3,48,-5269,193337,3328,8597
62,189,8,6,True,2021-01-27T19:30:00Z,0,0,20,90,0,0,1,0,0,0,0,0,0,0,0,27,23.0,0.7,34.0,5.8,48,8649,205972,14652,6003
62,200,17,6,True,2021-01-31T19:15:00Z,1,0,21,90,0,0,1,0,0,0,0,0,0,0,0,25,8.4,10.3,20.0,3.9,48,-2108,203822,5000,7108
62,216,11,8,False,2021-02-03T20:15:00Z,0,1,22,90,0,0,1,0,0,0,0,0,0,0,2,29,31.4,0.4,34.0,6.6,48,1625,205977,5452,3827
