element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
181,2,1,1,True,2020-09-12T11:30:00Z,0,3,1,15,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.4,2.0,0.2,55,0,8412,0,0
181,13,10,5,False,2020-09-19T14:00:00Z,4,3,2,32,1,0,0,0,0,0,0,0,0,0,0,28,34.6,0.5,17.0,5.2,55,-835,9284,1715,2550
181,22,2,1,True,2020-09-28T16:45:00Z,0,3,3,77,0,0,0,3,0,0,0,1,0,0,0,2,2.0,9.9,28.0,4.0,55,1979,13139,5379,3400
181,38,20,2,False,2020-10-04T13:00:00Z,1,0,4,80,0,0,0,1,0,0,0,0,0,0,0,11,5.0,3.9,0.0,0.9,55,-2191,10928,725,2916
181,46,15,0,False,2020-10-18T11:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-1148,10224,1356,2504
181,53,6,1,True,2020-10-24T14:00:00Z,1,2,6,16,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.4,0.0,0.0,54,-826,9575,992,1818
181,61,18,7,True,2020-11-02T17:30:00Z,2,0,7,84,1,0,1,0,0,0,0,1,0,0,2,28,32.8,2.3,54.0,8.9,54,-1157,8561,490,1647
181,78,19,2,False,2020-11-07T20:00:00Z,1,0,8,82,0,0,1,0,0,0,0,0,0,0,0,11,8.8,15.5,39.0,6.3,53,1789,10890,2777,988
181,81,7,4,True,2020-11-22T12:00:00Z,2,3,9,57,1,0,0,3,0,0,0,1,0,0,0,28,38.2,16.8,40.0,9.5,53,473,11595,2187,1714
181,94,9,5,False,2020-11-30T17:30:00Z,1,2,10,90,0,1,0,1,0,0,0,0,0,0,0,17,14.2,3.2,2.0,1.9,53,1983,13987,3228,1245
181,104,12,2,False,2020-12-05T15:00:00Z,2,0,11,70,0,0,0,2,0,0,0,0,0,0,0,5,8.0,1.8,0.0,1.0,53,5167,20122,7431,2264
181,112,11,9,True,2020-12-13T16:30:00Z,1,1,12,90,1,0,0,1,0,0,0,0,0,0,3,32,48.8,5.7,31.0,8.6,53,4809,24934,8258,3449
181,121,3,2,True,2020-12-16T20:00:00Z,0,0,13,61,0,0,1,0,0,0,0,0,0,0,0,7,5.4,1.9,0.0,0.7,53,26339,54282,29059,2720
181,135,14,2,False,2020-12-19T20:00:00Z,1,1,14,90,0,0,0,1,0,0,0,0,0,0,0,2,1.0,2.5,6.0,1.0,53,-4409,47781,7438,11847
181,141,16,1,True,2020-12-26T15:00:00Z,0,0,15,82,0,0,1,0,0,0,0,1,0,0,0,0,0.2,1.0,2.0,0.3,53,8289,57846,16998,8709
181,157,17,2,False,2021-01-13T20:15:00Z,1,1,18,90,0,0,0,1,0,0,0,0,0,0,0,17,9.8,16.3,18.0,4.4,53,6277,66360,20417,14140
181,181,5,1,True,2021-01-16T17:30:00Z,0,1,19,82,0,0,0,1,0,0,0,1,0,0,0,6,14.2,13.6,2.0,3.0,53,23585,94254,36839,13254
181,171,13,0,True,2021-01-20T20:15:00Z,1,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,23585,94254,36839,13254
181,189,3,2,False,2021-01-27T19:30:00Z,0,0,20,90,0,0,1,0,0,0,0,0,0,0,0,13,14.6,12.5,13.0,4.0,53,-10737,77479,8015,18752
181,207,18,7,False,2021-01-30T15:00:00Z,2,2,21,71,1,0,0,2,0,0,0,0,0,0,1,25,33.8,12.3,31.0,7.7,53,-3089,74812,7938,11027
181,211,9,1,True,2021-02-03T18:00:00Z,0,2,22,19,0,0,0,0,0,0,0,0,0,0,0,2,1.4,2.0,20.0,2.3,53,5544,80913,13153,7609
181,221,19,2,True,2021-02-06T17:30:00Z,0,0,23,82,0,0,1,0,0,0,0,0,0,0,0,10,12.0,13.8,24.0,5.0,53,-6957,73965,5239,12196
181,233,7,2,False,2021-02-14T19:00:00Z,0,2,24,90,0,0,1,0,0,0,0,0,0,0,0,6,5.8,24.3,32.0,6.2,53,35247,120707,46782,11535
181,160,4,2,False,2021-02-17T18:00:00Z,1,1,24,66,0,0,0,1,0,0,0,0,0,0,0,6,2.4,1.1,4.0,0.8,53,35247,120707,46782,11535
181,243,15,1,True,2021-02-20T20:00:00Z,1,0,25,1,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.1,0.0,0.1,53,-7207,103269,14107,21314
181,250,6,2,False,2021-02-28T12:00:00Z,0,0,26,65,0,0,1,0,0,0,0,0,0,0,0,12,9.2,16.5,10.0,3.6,53,-1714,102509,22717,24431
181,321,17,0,True,2021-03-04T18:00:00Z,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-1714,102509,22717,24431
181,263,11,2,False,2021-03-07T14:00:00Z,0,1,27,90,0,0,1,0,0,0,0,0,0,0,0,6,7.0,12.7,4.0,2.4,53,-9918,92343,4419,14337
181,272,12,0,True,2021-03-13T20:00:00Z,0,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-7736,84869,4290,12026
